Customer ID;Date;Week;Day;Weekend;Retailer;City;State;Brand;Model;Fuel Type;Segment;Age Group;Income Band;Customer Type;Lead Source;Salesperson;Customers Visited;Test Drives;Contracts Offered;Contracts Signed;Conversion Rate (%);Unit Price (€);Discount (%);Cost Price (€);Revenue(€);Profit(€);Month;Month Number;Year;Weekday Type;Offer Conversion;Visit to Test Drive %;Visit to Signed %;Average Margin per Signed Contract;Column1
CUST_11;18/02/2026;Week 3;Wednesday;No;Stuttgart Auto Center;Stuttgart;Baden-WÃ¼rttemberg;Mercedes;EQE;Hybrid;Sedan;18-25;Medium;New;Website;Sales_11;212;106;83;23;21.7;56108;4.02;40922;1290484;349278;Feb;2;2026;Weekday;27,71%;50,00%;10,85%;15186,00;Stuttgart Auto Center
CUST_12;01/02/2026;Week 1;Sunday;Yes;Elbe Drive;Hamburg;Hamburg;Audi;e-tron;Diesel;SUV;18-25;High;Returning;Walk-in;Sales_11;301;167;128;44;26.35;48955;3.54;37052;2154020;523732;Feb;2;2026;Weekend;34,38%;55,48%;14,62%;11903,00;Elbe Drive
CUST_13;16/02/2026;Week 3;Monday;No;Saxon Wheels;Dresden;Saxony;BMW;X3;Electric;SUV;36-50;Medium;New;Website;Sales_20;141;84;66;22;26.19;65904;3.37;48323;1449888;386782;Feb;2;2026;Weekday;33,33%;59,57%;15,60%;17581,00;Saxon Wheels
CUST_14;23/02/2026;Week 4;Monday;No;Autohaus Berlin;Berlin;Berlin;Audi;Q5;Hybrid;SUV;50+;Medium;Returning;Website;Sales_15;247;149;99;39;26.17;44929;6.91;36645;1752231;323076;Feb;2;2026;Weekday;39,39%;60,32%;15,79%;8284,00;Autohaus Berlin
CUST_15;14/02/2026;Week 2;Saturday;Yes;Saxon Wheels;Dresden;Saxony;Opel;Grandland;Diesel;SUV;50+;Medium;New;Social Media;Sales_4;287;135;87;14;10.37;23268;7.36;21278;325752;27860;Feb;2;2026;Weekend;16,09%;47,04%;4,88%;1990,00;Saxon Wheels
CUST_16;04/02/2026;Week 1;Wednesday;No;Hannover Cars;Hannover;Lower Saxony;Opel;Grandland;Diesel;SUV;50+;Medium;Returning;Social Media;Sales_8;396;182;116;30;16.48;21375;13.68;19723;641250;49560;Feb;2;2026;Weekday;25,86%;45,96%;7,58%;1652,00;Hannover Cars
CUST_17;01/02/2026;Week 1;Sunday;Yes;Saxon Wheels;Dresden;Saxony;VW;Passat;Electric;Sedan;18-25;Medium;New;Social Media;Sales_12;373;189;110;24;12.7;33822;10.65;30290;811728;84768;Feb;2;2026;Weekend;21,82%;50,67%;6,43%;3532,00;Saxon Wheels
CUST_18;19/02/2026;Week 3;Thursday;No;Autohaus Berlin;Berlin;Berlin;Audi;Q5;Diesel;SUV;18-25;Medium;Returning;Website;Sales_14;251;134;97;32;23.88;43005;3.79;34453;1376160;273664;Feb;2;2026;Weekday;32,99%;53,39%;12,75%;8552,00;Autohaus Berlin
CUST_19;06/02/2026;Week 1;Friday;No;Leipzig Mobility;Leipzig;Saxony;Mercedes;GLC;Electric;SUV;50+;Low;Returning;Walk-in;Sales_4;258;138;101;37;26.81;65084;5.76;51063;2408108;518777;Feb;2;2026;Weekday;36,63%;53,49%;14,34%;14021,00;Leipzig Mobility
CUST_20;13/02/2026;Week 2;Friday;No;Saxon Wheels;Dresden;Saxony;VW;Golf;Petrol;Hatchback;50+;High;Returning;Social Media;Sales_5;512;217;154;35;16.13;26477;7.47;23818;926695;93065;Feb;2;2026;Weekday;22,73%;42,38%;6,84%;2659,00;Saxon Wheels
CUST_21;13/02/2026;Week 2;Friday;No;Autohaus Berlin;Berlin;Berlin;BMW;X5;Hybrid;SUV;18-25;Low;New;Referral;Sales_10;187;93;66;30;32.26;60858;2.85;47343;1825740;405450;Feb;2;2026;Weekday;45,45%;49,73%;16,04%;13515,00;Autohaus Berlin
CUST_22;12/02/2026;Week 2;Thursday;No;Bavaria Motors;Munich;Bavaria;VW;Passat;Electric;Sedan;26-35;High;Returning;Referral;Sales_18;356;167;119;35;20.96;26482;7.72;23469;926870;105455;Feb;2;2026;Weekday;29,41%;46,91%;9,83%;3013,00;Bavaria Motors
CUST_23;24/02/2026;Week 4;Tuesday;No;Rhein Auto Group;Cologne;NRW;Mercedes;C-Class;Electric;Sedan;36-50;High;New;Referral;Sales_17;235;114;78;34;29.82;53229;4.03;38281;1809786;508232;Feb;2;2026;Weekday;43,59%;48,51%;14,47%;14948,00;Rhein Auto Group
CUST_24;04/02/2026;Week 1;Wednesday;No;Ruhr Auto Plaza;Dortmund;NRW;Audi;A3;Diesel;Hatchback;50+;Low;Returning;Website;Sales_16;195;119;76;27;22.69;41539;4.32;33776;1121553;209601;Feb;2;2026;Weekday;35,53%;61,03%;13,85%;7763,00;Ruhr Auto Plaza
CUST_25;08/02/2026;Week 2;Sunday;Yes;Hannover Cars;Hannover;Lower Saxony;VW;Passat;Electric;Sedan;18-25;Low;New;Walk-in;Sales_15;306;129;75;19;14.73;27960;10.9;25115;531240;54055;Feb;2;2026;Weekend;25,33%;42,16%;6,21%;2845,00;Hannover Cars
CUST_26;14/02/2026;Week 2;Saturday;Yes;Stuttgart Auto Center;Stuttgart;Baden-WÃ¼rttemberg;Mercedes;C-Class;Petrol;Sedan;36-50;Medium;Returning;Social Media;Sales_8;160;71;47;18;25.35;59633;2.94;44451;1073394;273276;Feb;2;2026;Weekend;38,30%;44,38%;11,25%;15182,00;Stuttgart Auto Center
CUST_27;01/02/2026;Week 1;Sunday;Yes;Ruhr Auto Plaza;Dortmund;NRW;Opel;Grandland;Electric;SUV;36-50;Medium;New;Referral;Sales_2;374;161;97;29;18.01;25858;9.45;23263;749882;75255;Feb;2;2026;Weekend;29,90%;43,05%;7,75%;2595,00;Ruhr Auto Plaza
CUST_28;21/02/2026;Week 3;Saturday;Yes;Main Auto Hub;Frankfurt;Hesse;BMW;X5;Diesel;SUV;36-50;Medium;New;Website;Sales_13;158;76;59;19;25.0;65636;3.13;46521;1247084;363185;Feb;2;2026;Weekend;32,20%;48,10%;12,03%;19115,00;Main Auto Hub
CUST_29;18/02/2026;Week 3;Wednesday;No;Bavaria Motors;Munich;Bavaria;VW;Golf;Hybrid;Hatchback;18-25;High;New;Website;Sales_12;354;148;106;25;16.89;30248;6.73;26143;756200;102625;Feb;2;2026;Weekday;23,58%;41,81%;7,06%;4105,00;Bavaria Motors
CUST_30;12/02/2026;Week 2;Thursday;No;Autohaus Berlin;Berlin;Berlin;Audi;Q3;Diesel;SUV;36-50;Medium;New;Social Media;Sales_17;301;185;135;38;20.54;54550;4.32;41679;2072900;489098;Feb;2;2026;Weekday;28,15%;61,46%;12,62%;12871,00;Autohaus Berlin
CUST_31;21/02/2026;Week 3;Saturday;Yes;Main Auto Hub;Frankfurt;Hesse;VW;Passat;Petrol;Sedan;18-25;Low;New;Referral;Sales_13;443;252;152;49;19.44;32286;6.0;29042;1582014;158956;Feb;2;2026;Weekend;32,24%;56,88%;11,06%;3244,00;Main Auto Hub
CUST_32;01/02/2026;Week 1;Sunday;Yes;Saxon Wheels;Dresden;Saxony;Mercedes;C-Class;Diesel;Sedan;36-50;Medium;New;Referral;Sales_10;161;93;62;24;25.81;58127;4.27;42953;1395048;364176;Feb;2;2026;Weekend;38,71%;57,76%;14,91%;15174,00;Saxon Wheels
CUST_33;18/02/2026;Week 3;Wednesday;No;Elbe Drive;Hamburg;Hamburg;Audi;Q3;Hybrid;SUV;18-25;High;New;Social Media;Sales_10;211;113;80;24;21.24;52706;6.2;39635;1264944;313704;Feb;2;2026;Weekday;30,00%;53,55%;11,37%;13071,00;Elbe Drive
CUST_34;06/02/2026;Week 1;Friday;No;Autohaus Berlin;Berlin;Berlin;Opel;Astra;Petrol;Hatchback;50+;High;New;Referral;Sales_19;403;212;131;42;19.81;23112;7.52;20726;970704;100212;Feb;2;2026;Weekday;32,06%;52,61%;10,42%;2386,00;Autohaus Berlin
CUST_35;07/02/2026;Week 1;Saturday;Yes;Rhein Auto Group;Cologne;NRW;VW;Golf;Hybrid;Hatchback;18-25;Low;New;Website;Sales_17;310;178;104;25;14.04;32278;9.69;28834;806950;86100;Feb;2;2026;Weekend;24,04%;57,42%;8,06%;3444,00;Rhein Auto Group
CUST_36;06/02/2026;Week 1;Friday;No;Saxon Wheels;Dresden;Saxony;VW;Golf;Petrol;Hatchback;18-25;Low;New;Website;Sales_19;414;192;122;24;12.5;30888;11.07;27284;741312;86496;Feb;2;2026;Weekday;19,67%;46,38%;5,80%;3604,00;Saxon Wheels
CUST_37;28/02/2026;Week 4;Saturday;Yes;Leipzig Mobility;Leipzig;Saxony;BMW;3 Series;Diesel;Sedan;18-25;Medium;New;Referral;Sales_1;235;117;91;33;28.21;58045;5.33;41729;1915485;538428;Feb;2;2026;Weekend;36,26%;49,79%;14,04%;16316,00;Leipzig Mobility
CUST_38;19/02/2026;Week 3;Thursday;No;Stuttgart Auto Center;Stuttgart;Baden-WÃ¼rttemberg;Mercedes;E-Class;Petrol;Sedan;36-50;Low;New;Referral;Sales_12;252;137;107;42;30.66;70597;2.29;52531;2965074;758772;Feb;2;2026;Weekday;39,25%;54,37%;16,67%;18066,00;Stuttgart Auto Center
CUST_39;05/02/2026;Week 1;Thursday;No;Leipzig Mobility;Leipzig;Saxony;BMW;X5;Diesel;SUV;50+;Medium;Returning;Referral;Sales_9;226;127;89;36;28.35;51171;4.76;37002;1842156;510084;Feb;2;2026;Weekday;40,45%;56,19%;15,93%;14169,00;Leipzig Mobility
CUST_40;05/02/2026;Week 1;Thursday;No;Stuttgart Auto Center;Stuttgart;Baden-WÃ¼rttemberg;BMW;5 Series;Diesel;Sedan;26-35;High;Returning;Website;Sales_18;203;108;83;32;29.63;65205;4.0;50833;2086560;459904;Feb;2;2026;Weekday;38,55%;53,20%;15,76%;14372,00;Stuttgart Auto Center
CUST_41;05/02/2026;Week 1;Thursday;No;Main Auto Hub;Frankfurt;Hesse;Audi;e-tron;Electric;SUV;26-35;Low;Returning;Referral;Sales_13;241;112;78;28;25.0;40439;6.92;31905;1132292;238952;Feb;2;2026;Weekday;35,90%;46,47%;11,62%;8534,00;Main Auto Hub
CUST_42;01/02/2026;Week 1;Sunday;Yes;Rhein Auto Group;Cologne;NRW;BMW;X3;Hybrid;SUV;36-50;Low;Returning;Social Media;Sales_8;148;71;54;18;25.35;64865;3.71;46247;1167570;335124;Feb;2;2026;Weekend;33,33%;47,97%;12,16%;18618,00;Rhein Auto Group
CUST_43;12/02/2026;Week 2;Thursday;No;Bavaria Motors;Munich;Bavaria;Audi;Q3;Hybrid;SUV;18-25;Medium;New;Walk-in;Sales_4;302;145;103;37;25.52;48083;4.68;37058;1779071;407925;Feb;2;2026;Weekday;35,92%;48,01%;12,25%;11025,00;Bavaria Motors
CUST_44;03/02/2026;Week 1;Tuesday;No;Elbe Drive;Hamburg;Hamburg;Mercedes;GLC;Diesel;SUV;36-50;High;Returning;Referral;Sales_4;246;111;81;32;28.83;56651;3.03;41616;1812832;481120;Feb;2;2026;Weekday;39,51%;45,12%;13,01%;15035,00;Elbe Drive
CUST_45;12/02/2026;Week 2;Thursday;No;Bavaria Motors;Munich;Bavaria;Mercedes;C-Class;Petrol;Sedan;50+;High;Returning;Referral;Sales_15;155;78;52;23;29.49;66179;3.57;47870;1522117;421107;Feb;2;2026;Weekday;44,23%;50,32%;14,84%;18309,00;Bavaria Motors
CUST_46;24/02/2026;Week 4;Tuesday;No;Stuttgart Auto Center;Stuttgart;Baden-WÃ¼rttemberg;Audi;Q3;Petrol;SUV;36-50;High;New;Walk-in;Sales_1;273;144;98;37;25.69;52880;4.15;40760;1956560;448440;Feb;2;2026;Weekday;37,76%;52,75%;13,55%;12120,00;Stuttgart Auto Center
CUST_47;05/02/2026;Week 1;Thursday;No;Stuttgart Auto Center;Stuttgart;Baden-WÃ¼rttemberg;Opel;Mokka;Hybrid;SUV;26-35;High;New;Referral;Sales_5;273;119;78;23;19.33;26292;9.19;23635;604716;61111;Feb;2;2026;Weekday;29,49%;43,59%;8,42%;2657,00;Stuttgart Auto Center
CUST_48;07/02/2026;Week 1;Saturday;Yes;Hannover Cars;Hannover;Lower Saxony;VW;Tiguan;Electric;SUV;50+;Medium;Returning;Referral;Sales_10;300;155;108;32;20.65;30515;8.3;26908;976480;115424;Feb;2;2026;Weekend;29,63%;51,67%;10,67%;3607,00;Hannover Cars
CUST_49;17/02/2026;Week 3;Tuesday;No;Bavaria Motors;Munich;Bavaria;Mercedes;C-Class;Diesel;Sedan;50+;High;Returning;Social Media;Sales_20;205;115;78;30;26.09;72109;3.67;52717;2163270;581760;Feb;2;2026;Weekday;38,46%;56,10%;14,63%;19392,00;Bavaria Motors
CUST_50;03/02/2026;Week 1;Tuesday;No;Ruhr Auto Plaza;Dortmund;NRW;VW;T-Roc;Petrol;SUV;36-50;Medium;New;Website;Sales_12;325;138;98;17;12.32;28406;6.96;25468;482902;49946;Feb;2;2026;Weekday;17,35%;42,46%;5,23%;2938,00;Ruhr Auto Plaza
CUST_51;08/02/2026;Week 2;Sunday;Yes;Ruhr Auto Plaza;Dortmund;NRW;Mercedes;GLC;Diesel;SUV;18-25;Medium;New;Referral;Sales_1;191;88;62;23;26.14;55394;3.3;43316;1274062;277794;Feb;2;2026;Weekend;37,10%;46,07%;12,04%;12078,00;Ruhr Auto Plaza
CUST_52;02/02/2026;Week 1;Monday;No;Stuttgart Auto Center;Stuttgart;Baden-WÃ¼rttemberg;Mercedes;C-Class;Diesel;Sedan;50+;Medium;New;Walk-in;Sales_18;279;125;93;33;26.4;61934;5.56;47751;2043822;468039;Feb;2;2026;Weekday;35,48%;44,80%;11,83%;14183,00;Stuttgart Auto Center
CUST_53;10/02/2026;Week 2;Tuesday;No;Bavaria Motors;Munich;Bavaria;VW;Passat;Hybrid;Sedan;50+;Low;Returning;Social Media;Sales_14;481;255;153;44;17.25;28856;7.37;25186;1269664;161480;Feb;2;2026;Weekday;28,76%;53,01%;9,15%;3670,00;Bavaria Motors
CUST_54;26/02/2026;Week 4;Thursday;No;Hannover Cars;Hannover;Lower Saxony;Opel;Astra;Diesel;Hatchback;26-35;High;New;Website;Sales_16;410;164;98;20;12.2;19811;10.49;17817;396220;39880;Feb;2;2026;Weekday;20,41%;40,00%;4,88%;1994,00;Hannover Cars
CUST_55;22/02/2026;Week 4;Sunday;Yes;Saxon Wheels;Dresden;Saxony;Mercedes;EQE;Diesel;Sedan;50+;High;New;Social Media;Sales_9;288;140;97;27;19.29;55213;5.93;43579;1490751;314118;Feb;2;2026;Weekend;27,84%;48,61%;9,38%;11634,00;Saxon Wheels
CUST_56;23/02/2026;Week 4;Monday;No;Rhein Auto Group;Cologne;NRW;VW;T-Roc;Hybrid;SUV;50+;Low;New;Referral;Sales_11;518;213;139;36;16.9;31912;9.82;28814;1148832;111528;Feb;2;2026;Weekday;25,90%;41,12%;6,95%;3098,00;Rhein Auto Group
CUST_57;11/02/2026;Week 2;Wednesday;No;Bavaria Motors;Munich;Bavaria;VW;ID.4;Hybrid;SUV;18-25;High;Returning;Referral;Sales_12;450;248;151;51;20.56;29724;7.6;26266;1515924;176358;Feb;2;2026;Weekday;33,77%;55,11%;11,33%;3458,00;Bavaria Motors
CUST_58;04/02/2026;Week 1;Wednesday;No;Autohaus Berlin;Berlin;Berlin;Audi;Q3;Electric;SUV;50+;Medium;New;Website;Sales_8;205;118;81;28;23.73;52442;3.57;40146;1468376;344288;Feb;2;2026;Weekday;34,57%;57,56%;13,66%;12296,00;Autohaus Berlin
CUST_59;18/02/2026;Week 3;Wednesday;No;Elbe Drive;Hamburg;Hamburg;VW;Tiguan;Electric;SUV;26-35;Medium;Returning;Referral;Sales_18;481;251;145;56;22.31;33148;7.35;29174;1856288;222544;Feb;2;2026;Weekday;38,62%;52,18%;11,64%;3974,00;Elbe Drive
CUST_60;05/02/2026;Week 1;Thursday;No;Ruhr Auto Plaza;Dortmund;NRW;Audi;Q5;Hybrid;SUV;18-25;High;Returning;Social Media;Sales_15;173;86;58;19;22.09;42751;4.97;33052;812269;184281;Feb;2;2026;Weekday;32,76%;49,71%;10,98%;9699,00;Ruhr Auto Plaza
CUST_61;21/02/2026;Week 3;Saturday;Yes;Bavaria Motors;Munich;Bavaria;Mercedes;EQE;Diesel;Sedan;26-35;High;Returning;Referral;Sales_18;266;119;87;34;28.57;71273;4.64;51780;2423282;662762;Feb;2;2026;Weekend;39,08%;44,74%;12,78%;19493,00;Bavaria Motors
CUST_62;03/02/2026;Week 1;Tuesday;No;Elbe Drive;Hamburg;Hamburg;VW;Tiguan;Petrol;SUV;36-50;Low;Returning;Social Media;Sales_15;506;258;151;36;13.95;32432;7.37;28674;1167552;135288;Feb;2;2026;Weekday;23,84%;50,99%;7,11%;3758,00;Elbe Drive
CUST_63;02/02/2026;Week 1;Monday;No;Ruhr Auto Plaza;Dortmund;NRW;Opel;Grandland;Diesel;SUV;26-35;Low;New;Walk-in;Sales_3;350;166;104;26;15.66;21587;11.47;19910;561262;43602;Feb;2;2026;Weekday;25,00%;47,43%;7,43%;1677,00;Ruhr Auto Plaza
CUST_64;26/02/2026;Week 4;Thursday;No;Saxon Wheels;Dresden;Saxony;Mercedes;EQE;Diesel;Sedan;26-35;Low;New;Social Media;Sales_9;265;128;94;27;21.09;54462;2.99;42690;1470474;317844;Feb;2;2026;Weekday;28,72%;48,30%;10,19%;11772,00;Saxon Wheels
CUST_65;12/02/2026;Week 2;Thursday;No;Elbe Drive;Hamburg;Hamburg;Audi;A3;Electric;Hatchback;18-25;High;New;Social Media;Sales_20;304;142;103;34;23.94;51393;6.0;39783;1747362;394740;Feb;2;2026;Weekday;33,01%;46,71%;11,18%;11610,00;Elbe Drive
CUST_66;06/02/2026;Week 1;Friday;No;Elbe Drive;Hamburg;Hamburg;Audi;Q5;Diesel;SUV;50+;High;Returning;Website;Sales_19;244;124;87;30;24.19;50944;4.02;39541;1528320;342090;Feb;2;2026;Weekday;34,48%;50,82%;12,30%;11403,00;Elbe Drive
CUST_67;12/02/2026;Week 2;Thursday;No;Leipzig Mobility;Leipzig;Saxony;Opel;Grandland;Diesel;SUV;50+;Medium;New;Website;Sales_5;383;175;99;22;12.57;24691;10.45;22754;543202;42614;Feb;2;2026;Weekday;22,22%;45,69%;5,74%;1937,00;Leipzig Mobility
CUST_68;11/02/2026;Week 2;Wednesday;No;Autohaus Berlin;Berlin;Berlin;Mercedes;E-Class;Diesel;Sedan;26-35;Medium;New;Referral;Sales_5;276;138;105;42;30.43;51409;4.96;38009;2159178;562800;Feb;2;2026;Weekday;40,00%;50,00%;15,22%;13400,00;Autohaus Berlin
CUST_69;23/02/2026;Week 4;Monday;No;Ruhr Auto Plaza;Dortmund;NRW;Mercedes;E-Class;Diesel;Sedan;18-25;Medium;Returning;Social Media;Sales_7;245;123;97;25;20.33;59335;4.59;45070;1483375;356625;Feb;2;2026;Weekday;25,77%;50,20%;10,20%;14265,00;Ruhr Auto Plaza
CUST_70;23/02/2026;Week 4;Monday;No;Bavaria Motors;Munich;Bavaria;Opel;Mokka;Diesel;SUV;36-50;Low;Returning;Walk-in;Sales_6;414;189;114;36;19.05;24993;12.01;23225;899748;63648;Feb;2;2026;Weekday;31,58%;45,65%;8,70%;1768,00;Bavaria Motors
CUST_71;01/02/2026;Week 1;Sunday;Yes;Ruhr Auto Plaza;Dortmund;NRW;BMW;X5;Petrol;SUV;26-35;High;New;Website;Sales_11;188;112;79;29;25.89;65105;2.09;50417;1888045;425952;Feb;2;2026;Weekend;36,71%;59,57%;15,43%;14688,00;Ruhr Auto Plaza
CUST_72;07/02/2026;Week 1;Saturday;Yes;Hannover Cars;Hannover;Lower Saxony;Audi;e-tron;Diesel;SUV;26-35;High;Returning;Referral;Sales_19;319;160;111;40;25.0;49662;5.97;37777;1986480;475400;Feb;2;2026;Weekend;36,04%;50,16%;12,54%;11885,00;Hannover Cars
CUST_73;22/02/2026;Week 4;Sunday;Yes;Rhein Auto Group;Cologne;NRW;Mercedes;GLE;Diesel;SUV;26-35;Low;New;Website;Sales_6;166;96;66;23;23.96;53475;2.97;42228;1229925;258681;Feb;2;2026;Weekend;34,85%;57,83%;13,86%;11247,00;Rhein Auto Group
CUST_74;09/02/2026;Week 2;Monday;No;Stuttgart Auto Center;Stuttgart;Baden-WÃ¼rttemberg;Audi;A3;Diesel;Hatchback;36-50;Low;New;Social Media;Sales_3;293;169;120;34;20.12;53515;4.34;42136;1819510;386886;Feb;2;2026;Weekday;28,33%;57,68%;11,60%;11379,00;Stuttgart Auto Center
CUST_75;20/02/2026;Week 3;Friday;No;Elbe Drive;Hamburg;Hamburg;Opel;Mokka;Electric;SUV;18-25;Low;New;Walk-in;Sales_4;341;153;96;28;18.3;24489;12.15;21876;685692;73164;Feb;2;2026;Weekday;29,17%;44,87%;8,21%;2613,00;Elbe Drive
CUST_76;24/02/2026;Week 4;Tuesday;No;Elbe Drive;Hamburg;Hamburg;Audi;A4;Diesel;Sedan;26-35;High;Returning;Social Media;Sales_3;274;126;82;31;24.6;41513;4.05;32106;1286903;291617;Feb;2;2026;Weekday;37,80%;45,99%;11,31%;9407,00;Elbe Drive
CUST_77;26/02/2026;Week 4;Thursday;No;Hannover Cars;Hannover;Lower Saxony;Audi;A3;Diesel;Hatchback;50+;High;New;Social Media;Sales_18;303;188;143;40;21.28;52453;6.75;39557;2098120;515840;Feb;2;2026;Weekday;27,97%;62,05%;13,20%;12896,00;Hannover Cars
CUST_78;06/02/2026;Week 1;Friday;No;Elbe Drive;Hamburg;Hamburg;Mercedes;GLE;Hybrid;SUV;18-25;Low;Returning;Website;Sales_15;246;117;83;28;23.93;66133;4.82;50758;1851724;430500;Feb;2;2026;Weekday;33,73%;47,56%;11,38%;15375,00;Elbe Drive
CUST_79;18/02/2026;Week 3;Wednesday;No;Ruhr Auto Plaza;Dortmund;NRW;Opel;Corsa;Petrol;Hatchback;50+;High;New;Website;Sales_16;329;133;86;17;12.78;27498;7.85;24609;467466;49113;Feb;2;2026;Weekday;19,77%;40,43%;5,17%;2889,00;Ruhr Auto Plaza
CUST_80;05/02/2026;Week 1;Thursday;No;Elbe Drive;Hamburg;Hamburg;BMW;3 Series;Hybrid;Sedan;36-50;Low;Returning;Referral;Sales_10;160;78;63;25;32.05;50785;5.55;38014;1269625;319275;Feb;2;2026;Weekday;39,68%;48,75%;15,63%;12771,00;Elbe Drive
CUST_81;14/02/2026;Week 2;Saturday;Yes;Autohaus Berlin;Berlin;Berlin;Audi;A4;Hybrid;Sedan;50+;High;New;Referral;Sales_3;213;106;77;28;26.42;50979;4.2;40684;1427412;288260;Feb;2;2026;Weekend;36,36%;49,77%;13,15%;10295,00;Autohaus Berlin
CUST_82;10/02/2026;Week 2;Tuesday;No;Rhein Auto Group;Cologne;NRW;VW;Tiguan;Diesel;SUV;50+;High;Returning;Website;Sales_1;408;200;116;34;17.0;32145;8.62;27944;1092930;142834;Feb;2;2026;Weekday;29,31%;49,02%;8,33%;4201,00;Rhein Auto Group
CUST_83;10/02/2026;Week 2;Tuesday;No;Main Auto Hub;Frankfurt;Hesse;BMW;5 Series;Electric;Sedan;26-35;Low;New;Social Media;Sales_10;176;105;77;28;26.67;69219;2.26;49754;1938132;545020;Feb;2;2026;Weekday;36,36%;59,66%;15,91%;19465,00;Main Auto Hub
CUST_84;27/02/2026;Week 4;Friday;No;Bavaria Motors;Munich;Bavaria;BMW;i4;Diesel;Sedan;18-25;Low;New;Walk-in;Sales_2;163;80;64;25;31.25;66452;4.05;50866;1661300;389650;Feb;2;2026;Weekday;39,06%;49,08%;15,34%;15586,00;Bavaria Motors
CUST_85;14/02/2026;Week 2;Saturday;Yes;Hannover Cars;Hannover;Lower Saxony;BMW;3 Series;Hybrid;Sedan;26-35;High;Returning;Social Media;Sales_17;144;77;54;21;27.27;55519;4.0;41517;1165899;294042;Feb;2;2026;Weekend;38,89%;53,47%;14,58%;14002,00;Hannover Cars
